address,ground_truth_label,ground_truth_source,ground_truth_evidence_type,ground_truth_date,ground_truth_independent,notes
3Kp8Qc5z7yevDeoQxhS5RSSKnEi5x7AQ43,darknet market,ofac_sdn,official_sanction,,yes,
3KvBX3jo69Qn8jHy44M33RYoeYcf8DdRBD,darknet market,ofac_sdn,official_sanction,,yes,
3LDbNuDkKmLae5r3a5icPA5CQg2Y8F7ogW,mixer,ofac_sdn,official_sanction,,yes,
3LhnVMcBq4gsR7aDaRr9XmUo17CuYBV4FN,mixer,ofac_sdn,official_sanction,,yes,
3Lpoy53K625zVeE47ZasiG5jGkAxJ27kh1,exchange,ofac_sdn,official_sanction,,yes,
3M7CGBPUJwXXSroWuZ6H5jiprdKCyf7V5M,exchange,ofac_sdn,official_sanction,,yes,
3MD3riFB6U8PykypF6qkvSj8R2SGdUDPn3,mixer,ofac_sdn,official_sanction,,yes,
3MP7yBGSW2gkXVRE8S84T2j4KVgPh3rEzv,darknet market,ofac_sdn,official_sanction,,yes,
3MTRvM5QrYZHKo8gh5qKcrPK3RLjxcDCZE,mixer,ofac_sdn,official_sanction,,yes,
3MTrJTFhYK9v1C6pjHtuweZSopfZa4b1wb,exchange,ofac_sdn,official_sanction,,yes,
3MvQ4gThF4mmuo49p4dBNchcmFHBRZnYfx,mixer,ofac_sdn,official_sanction,,yes,
3MzLtBQ4Lz9J6w4Qu55TktgxFKZwxYWrP6,exchange,ofac_sdn,official_sanction,,yes,
3N3YSDvp4cbhEgNGabQxTN39kEzJmwG8Ah,mixer,ofac_sdn,official_sanction,,yes,
3N9YcPBDky9UsMx1RTk33tL4jDkZfSnsPk,exchange,ofac_sdn,official_sanction,,yes,
3NDzzVxiLBUs1WPvVGRfCYDTAD2Ua2PvW4,mixer,ofac_sdn,official_sanction,,yes,
3NPognMSbzyA2JYW2fpkVKWyBMi2XTq2Zt,exchange,ofac_sdn,official_sanction,,yes,
3NRJ8aXdUiZdHaiFX9ePX3DhGHzcEi14Fq,exchange,ofac_sdn,official_sanction,,yes,
3P6PzdfETr4275Gn3veLkCyDxA1jV8fHKm,darknet market,ofac_sdn,official_sanction,,yes,
3PDmRwotTkRAFRLGTUrucCERp2JdM1q4ar,darknet market,ofac_sdn,official_sanction,,yes,
3PiCnZrBvGfWAKQ9hr4cCpfaDjy64yNSpE,darknet market,ofac_sdn,official_sanction,,yes,
3PjVn6PBEP9XHqQR82mfUyMjhWxiKMVjFK,exchange,watchyourback_manual,academic_verified,,yes,
3PyzSbFj3hbQQjTzDzyLSgvFVDjB7yw4Cj,mixer,ofac_sdn,official_sanction,,yes,
3Q5dGfLKkWqWSwYtbMUyc8xGjN5LrRviK4,mixer,ofac_sdn,official_sanction,,yes,
3QAdoc1rDCt8dii1GVPJXvvK6CEJLzCRZw,mixer,ofac_sdn,official_sanction,,yes,
3QEjBiPzw6WZUL4MYMmMU6DY1Y25aVbpQu,mixer,ofac_sdn,official_sanction,,yes,
3QJyT8nThEQakbfqgX86YjCK1Sp9hfNCUW,mixer,ofac_sdn,official_sanction,,yes,
3QVyoH4u3qT88uChAeJVhfB3r6maZt431y,darknet market,ofac_sdn,official_sanction,,yes,
3QWUdP5taP4GrRuueVDud1eWetb7hc3wDH,darknet market,ofac_sdn,official_sanction,,yes,
3QnWE5GVfQu3wVav91RuFkqip4Ti4NWqAY,darknet market,ofac_sdn,official_sanction,,yes,
3Qw9Fn19gCnga9LfHfpM99aGzuqxBNjR2i,exchange,ofac_sdn,official_sanction,,yes,
3QyUSB4eRYePHcvpS6k6YDMBUDGXRSSMPc,exchange,watchyourback_manual,academic_verified,,yes,
bc1q0vp48j7lzqkeu65hfy43tmltqt2uqgwfgleetw,exchange,watchyourback_manual,academic_verified,,yes,
bc1q202ajnhxgg9d9jjczmg0g4usp6haqldyy2eakl,darknet market,ofac_sdn,official_sanction,,yes,
bc1q237mvl0heyw0r38wd3xz8h5mar96rrwpams8pp,darknet market,ofac_sdn,official_sanction,,yes,
bc1q4rzdtlt0uslyw86cp29sctl6ct29g9a95cuup7pn5md9ddj7xgmqpp5m73,exchange,ofac_sdn,official_sanction,,yes,
bc1q86tl9255vg5wldamfymaaz36uqxzm30gs7fhkljvzdlt9t38s3lqgdwdfq,exchange,ofac_sdn,official_sanction,,yes,
bc1q90zrdysy4flyacw7hsury3ajs9yzwtwp6guqpypx94w0d3p58hysvz6pde,exchange,ofac_sdn,official_sanction,,yes,
bc1qe95l438kzjcvnsm3kn8n5augf9gpctdlhsq7f7hpnkyvlr7rc7cqupapf7,exchange,ofac_sdn,official_sanction,,yes,
bc1qj6j6p0jdefl6pvdzx3kx8245yy5mz6q4luhzes,darknet market,ofac_sdn,official_sanction,,yes,
bc1qlnzcep4l4ac0ttdrq7awxev9ehu465f2vpt9x0,ransomware,watchyourback_manual,academic_verified,,yes,
bc1qnurh904jcnxm0amfg2cy3406k4ed2vd2x67s8p,ransomware,watchyourback_manual,academic_verified,,yes,
bc1qqf8kcc9m57xjqcvsvuf989nnl48ve6d2s24cx3,darknet market,ofac_sdn,official_sanction,,yes,
bc1qs9u6j78e3utj08mwvqkkmqm9de5xk3g4yh8qtq,darknet market,ofac_sdn,official_sanction,,yes,
bc1qsmqpalp3gtgkltag4x3ygevmhh9y2hzk73t2ug,darknet market,ofac_sdn,official_sanction,,yes,
bc1qsmv6lkrw65l30yazdqpdjjtwzpvk9f8gfh0cy7,darknet market,ofac_sdn,official_sanction,,yes,
bc1quyc6j8ca84q9gjej5jjd2n8hra0vfu0j60fefs57p6e5rerkq07q0l5u3w,darknet market,ofac_sdn,official_sanction,,yes,
bc1qvlzfn6kmezv44d8kw0p5jsmxe6wchv3zc7gsxs,darknet market,ofac_sdn,official_sanction,,yes,
bc1qw7vfgv3r5vnehafl0y95sclg3uqsj87wxs9ad628yjjcq33cwessr6ndyw,exchange,ofac_sdn,official_sanction,,yes,
